radius,amount,threshold,psnr,ssim,detail_ratio,rank_psnr,rank_ssim,detail_dev,rank_detail,rank_avg
0.5,2.0,10,25.43318664820119,0.7871673257130911,1.0006598566520202,7.0,1.0,0.0006598566520201743,1.0,3.0
0.5,1.0,5,25.439926329897627,0.7867193043999717,1.0146910051274969,2.0,6.0,0.014691005127496881,2.0,3.3333333333333335
0.5,1.5,10,25.43398733459727,0.7871618991982845,0.9789754227488463,5.0,2.0,0.021024577251153698,3.0,3.3333333333333335
0.5,0.5,5,25.43331618858706,0.7869365015373834,0.9658901716068212,6.0,5.0,0.034109828393178776,4.0,5.0
0.5,1.5,5,25.440953186330162,0.7864440635451113,1.0687805306560205,1.0,7.0,0.06878053065602052,7.0,5.0
0.5,1.0,10,25.432429928737758,0.7871441755921754,0.959149328533705,8.0,3.0,0.04085067146629495,5.0,5.333333333333333
0.5,0.5,10,25.42823595545511,0.7871105482229618,0.9407441453006907,9.0,4.0,0.059255854699309274,6.0,6.333333333333333
0.5,2.0,5,25.43705343647772,0.7860925480893637,1.1298461284009358,3.0,8.0,0.1298461284009358,9.0,6.666666666666667
1.0,0.5,10,25.436400030716932,0.7856519667810058,1.0733366217126017,4.0,9.0,0.07333662171260169,8.0,7.0
1.0,1.0,10,25.412721059320738,0.7835656858249206,1.2725040875854243,10.0,10.0,0.2725040875854243,11.0,10.333333333333334
1.0,1.5,10,25.35673582163997,0.7810753504620941,1.509126326877186,11.0,11.0,0.509126326877186,14.0,12.0
2.0,0.5,10,25.328714711556604,0.7697073883124232,1.4078619125818996,12.0,13.0,0.40786191258189963,12.0,12.333333333333334
0.5,0.5,0,25.23211165765897,0.7663629615081489,1.2573605807084922,15.0,14.0,0.2573605807084922,10.0,13.0
1.0,2.0,10,25.27685687933652,0.7783483197698001,1.7783907398405165,13.0,12.0,0.7783907398405165,16.0,13.666666666666666
1.0,0.5,5,25.272842135246783,0.7604410405225608,1.4752935536572909,14.0,15.0,0.47529355365729087,13.0,14.0
0.5,1.0,0,25.20651588713489,0.7449389823555959,1.6365204339134554,16.0,17.0,0.6365204339134554,15.0,16.0
2.0,1.0,10,25.07433001592648,0.7473229769974837,2.1220208410432506,17.0,16.0,1.1220208410432506,21.0,18.0
1.0,0.5,0,25.06041093809471,0.735244493020383,1.7920976948317575,19.0,18.0,0.7920976948317575,17.0,18.0
2.0,0.5,5,25.025354921191028,0.7238596746020258,1.8971568023362244,20.0,20.0,0.8971568023362244,18.0,19.333333333333332
1.0,1.0,5,25.06746492515298,0.7299597327033189,2.2297691580303303,18.0,19.0,1.2297691580303303,22.0,19.666666666666668
0.5,1.5,0,24.978531949190057,0.7222649519024819,2.0857007393408074,21.0,22.0,1.0857007393408074,20.0,21.0
2.0,0.5,0,24.88238610367952,0.7078591771910264,2.0270793292797844,23.0,23.0,1.0270793292797844,19.0,21.666666666666668
0.5,2.0,0,24.9098043414089,0.6997001084026815,2.579860776058739,22.0,24.0,1.579860776058739,23.0,23.0
2.0,1.5,10,24.71012037717979,0.7226907195676745,3.034399490173722,26.0,21.0,2.034399490173722,25.0,24.0
1.0,1.0,0,24.765746981266002,0.681000572572626,2.9450599418392924,24.0,27.0,1.9450599418392924,24.0,25.0
1.0,1.5,5,24.76543892705921,0.6974409181371619,3.177596551353631,25.0,26.0,2.177596551353631,26.0,25.666666666666668
2.0,2.0,10,24.300721577692467,0.6977779491097817,4.125910171326906,29.0,25.0,3.1259101713269057,29.0,27.666666666666668
2.0,1.0,5,24.46150288383572,0.6565523955103842,3.2730327482625126,27.0,29.0,2.2730327482625126,27.0,27.666666666666668
1.0,2.0,5,24.44618507722738,0.6648340271946119,4.301751475916347,28.0,28.0,3.3017514759163467,30.0,28.666666666666668
2.0,1.0,0,24.271935877510813,0.6289067027468416,3.518628333521193,30.0,30.0,2.518628333521193,28.0,29.333333333333332
1.0,1.5,0,24.229665631217213,0.6275529819948391,4.391724557365357,31.0,31.0,3.3917245573653574,31.0,31.0
2.0,1.5,5,23.725221846962523,0.5922978563249598,5.027672923131496,33.0,32.0,4.027672923131496,32.0,32.333333333333336
1.0,2.0,0,23.801268256517197,0.5778958734426305,6.096471852879531,32.0,33.0,5.096471852879531,34.0,33.0
2.0,1.5,0,23.40585558258899,0.5571785634534061,5.3894435765541315,34.0,34.0,4.3894435765541315,33.0,33.666666666666664
2.0,2.0,5,23.00856322292489,0.5344838117827833,7.123109606716429,35.0,35.0,6.123109606716429,35.0,35.0
2.0,2.0,0,22.646866169306072,0.4954359864709032,7.591968128244289,36.0,36.0,6.591968128244289,36.0,36.0
