image_name,psnr,ssim
00006763_000.png,23.068248164926022,0.8583872014672321
00024141_000.png,26.71685648194236,0.8531834482792834
00028639_001.png,21.348383718947154,0.7225944889405908
00014768_004.png,28.410839729282003,0.8181560968334342
00026243_000.png,24.3087523826419,0.8622312693362296
00018960_005.png,24.57814977936442,0.859412588471257
00015107_000.png,25.99057230773006,0.8630969194293427
00021223_000.png,25.662891644503702,0.8286290651631906
00007636_000.png,27.79012174616154,0.8443439141241527
00004205_015.png,25.155625746453893,0.8277040594898447
00011338_001.png,29.68410604431765,0.8304269129081494
00019260_001.png,28.2090587463578,0.8178423344663917
00017458_004.png,25.79815003525523,0.8301041558988607
00001203_013.png,26.17989613154616,0.8662586540880083
00026765_000.png,24.792463953267006,0.836409978722266
00015929_009.png,29.806105266068926,0.8207942261319363
00027479_002.png,24.44418433722167,0.8051908205568772
00019460_002.png,25.19103243685313,0.8217201657370363
00001845_002.png,27.190594918173957,0.8406498223926296
00010469_001.png,24.06666228464949,0.822576362149989
00002450_000.png,22.302995985843864,0.8631117375349577
00008713_002.png,27.295172715527563,0.8070279015999771
00017981_004.png,25.923590573535247,0.7934431448707423
00029676_010.png,23.10901297733126,0.7810916516534694
00024064_000.png,26.041375687394833,0.8443429118464362
00014145_008.png,23.72550181499589,0.7908859758285348
00012603_014.png,29.146869004167762,0.8542557078978117
00006563_001.png,26.360936124078926,0.7747525983826405
00007055_005.png,29.119862411671544,0.8318636125229397
00016484_013.png,25.17666719074498,0.716758112826229
00030644_000.png,28.162469518431152,0.7736690224186026
00012413_001.png,27.240675332102104,0.8341237415293131
00012428_003.png,27.45790111539346,0.8550384539284469
00009476_000.png,25.587611901708883,0.8541048614927668
00020503_000.png,25.13316246216234,0.8486716001968245
00021838_001.png,26.813868725538967,0.8525104986128302
00022048_000.png,28.77951728942897,0.7482319254602976
00009241_000.png,25.51414455024506,0.8627646456873703
00028145_004.png,24.05257645292776,0.8228769952318615
00004582_004.png,22.138115185402217,0.8693992932239921
00005852_004.png,24.959785501380985,0.8688493681333797
00020434_003.png,20.675732158153075,0.7383666444608288
00009609_012.png,27.677458416711836,0.8385004103137531
00030323_046.png,27.390549793996865,0.7984180023967943
00024288_000.png,25.28057415557374,0.772649175484254
