image_name,stage,psnr,ssim
00000005_006.png,spatial_gaussian,24.722537578819136,0.7957606460766624
00000011_007.png,spatial_gaussian,27.619099124486752,0.8614801590967376
00000032_026.png,spatial_gaussian,25.250577953564814,0.8118617317702093
00000038_002.png,spatial_gaussian,26.18761349148108,0.7640825156335393
00000061_007.png,spatial_gaussian,29.413580053865136,0.8227409482181033
00000067_001.png,spatial_gaussian,22.970873631124444,0.8283915986407974
00000071_007.png,spatial_gaussian,23.354868346576076,0.8376183255712334
00000076_000.png,spatial_gaussian,26.83134271828663,0.8494476423677271
00000090_003.png,spatial_gaussian,25.868223381226336,0.7756992647550953
00000099_004.png,spatial_gaussian,27.3469086959174,0.8250849044802768
00000099_012.png,spatial_gaussian,25.59734733813603,0.8552137588207247
00000109_000.png,spatial_gaussian,23.86278931840699,0.8329899106195734
00000116_006.png,spatial_gaussian,24.426507799696644,0.8206257108554675
00000116_008.png,spatial_gaussian,25.29786345076383,0.8217508812090545
00000118_009.png,spatial_gaussian,25.98806825586085,0.8355052712670337
00000119_000.png,spatial_gaussian,24.881904000413062,0.8446042341358759
00000119_001.png,spatial_gaussian,29.223848614422174,0.8203521064172025
00000121_007.png,spatial_gaussian,24.068016189273088,0.8437036416478145
00000132_003.png,spatial_gaussian,24.702355793020466,0.8488495042999009
00000143_003.png,spatial_gaussian,28.918118271752764,0.8573694221015452
00000144_003.png,spatial_gaussian,24.4844192276965,0.8559147919945392
00000179_000.png,spatial_gaussian,25.128684668206603,0.8138114954040083
00000179_003.png,spatial_gaussian,29.3029576167082,0.821627849406025
00000181_008.png,spatial_gaussian,29.292870212677485,0.7813438609625372
00000181_060.png,spatial_gaussian,24.06016012217812,0.7797791838625491
00000189_000.png,spatial_gaussian,25.548454696779217,0.8711475592346746
00000203_000.png,spatial_gaussian,25.0198684032784,0.8674915501258144
00000211_032.png,spatial_gaussian,23.797441520771457,0.8392906671951736
00000231_002.png,spatial_gaussian,27.83468204798933,0.8412072658575034
00000251_001.png,spatial_gaussian,24.165068714048843,0.8110585975693559
00000251_003.png,spatial_gaussian,23.11190099894466,0.8392885674451347
00000272_003.png,spatial_gaussian,23.491046327346503,0.8727378437960821
00000305_001.png,spatial_gaussian,28.778887209451163,0.8291536220211793
00000322_013.png,spatial_gaussian,25.68268412878418,0.8583278484358883
00000368_002.png,spatial_gaussian,29.245200833672943,0.8251656299775935
00000370_011.png,spatial_gaussian,26.30621819355941,0.8440406247798317
00000372_013.png,spatial_gaussian,24.36370974218937,0.8471022695730582
00000383_002.png,spatial_gaussian,24.75572313590863,0.8272834389575403
00000391_002.png,spatial_gaussian,25.779422878812653,0.8709304605220162
00000393_000.png,spatial_gaussian,23.027214019497322,0.8484397278527465
00000404_002.png,spatial_gaussian,25.52334801480765,0.7156875165706807
00000431_000.png,spatial_gaussian,22.694708507550917,0.8466474781339443
00000441_000.png,spatial_gaussian,25.846151015763567,0.8672364602061531
00000459_048.png,spatial_gaussian,27.42452779159393,0.7565645424908785
00000463_001.png,spatial_gaussian,26.97658784103995,0.8574426949957891
00000472_000.png,spatial_gaussian,26.171357246432162,0.8670105883846904
00000491_013.png,spatial_gaussian,28.658653851321745,0.7825743431739306
00000506_010.png,spatial_gaussian,24.49325421423599,0.8252151563612543
